"","Date","forecast","actual","error"
"591",2018-12-12,31.4868142410906,29.864886267499,-1.62192797359162
"592",2018-12-13,31.4697567959761,30.6060953660991,-0.863661429877087
"593",2018-12-14,31.5117092893829,32.4584077368111,0.946698447428201
"594",2018-12-15,31.430840177042,31.7921351178662,0.361294940824237
"595",2018-12-16,31.3832437789212,33.2431643084369,1.85992052951578
"596",2018-12-17,25.0297059819243,35.191711163762,10.1620051818377
"597",2018-12-18,25.0409626353207,35.227574270661,10.1866116353403
"598",2018-12-19,24.168924244546,34.3597683290082,10.1908440844622
"599",2018-12-20,24.103193451739,32.2797868626875,8.17659341094849
"600",2018-12-21,24.2417623215748,30.4486039136725,6.20684159209766
"601",2018-12-22,24.19552542875,28.8495156005787,4.6539901718287
"602",2018-12-23,24.1039359786958,26.8775543525324,2.77361837383662
"603",2018-12-24,20.1271549501819,26.3161500043298,6.1889950541479
"604",2018-12-25,20.2486365478191,24.5460580039834,4.29742145616433
"605",2018-12-26,21.7274153996804,23.2543733636648,1.52695796398431
"606",2018-12-27,21.6886928209328,22.0340234945716,0.345330673638816
"607",2018-12-28,21.6716828542525,20.9441016150059,-0.727581239246661
"608",2018-12-29,21.671907546178,20.9549734858054,-0.716934060372591
"609",2018-12-30,21.5361468263824,20.122575606941,-1.41357121944142
"610",2018-12-31,14.8661414550775,20.9135695583857,6.0474281033082
"611",2019-01-01,15.1026397331261,20.9076839937148,5.80504426058868
"612",2019-01-02,17.7583052534312,20.1630692742176,2.4047640207864
"613",2019-01-03,17.7437133428729,19.9412237322802,2.19751038940736
"614",2019-01-04,17.8166738607996,19.5259258336978,1.70925197289824
"615",2019-01-05,17.7314549253797,19.256651767002,1.52519684162227
"616",2019-01-06,17.665855586026,20.1145196256418,2.44866403961583
"617",2019-01-07,16.8092413490399,20.4421580555905,3.63291670655056
"618",2019-01-08,16.9583255824941,22.9763854111432,6.01805982864918
"619",2019-01-09,16.2954324619635,21.9590745782518,5.66364211628828
"620",2019-01-10,16.328623330109,20.5863486119916,4.25772528188265
"621",2019-01-11,16.3208635597564,20.2890407230323,3.96817716327593
"622",2019-01-12,16.2823120119407,19.4867174651897,3.20440545324908
"623",2019-01-13,16.1450786814059,18.6805800679745,2.53550138656868
"624",2019-01-14,15.8654470656096,18.4621336625366,2.59668659692695
"625",2019-01-15,15.9435946604716,18.9307629695337,2.9871683090621
"626",2019-01-16,16.6034739754298,18.240301931971,1.63682795654119
"627",2019-01-17,16.8108919070367,17.4810777774133,0.670185870376578
"628",2019-01-18,16.7269891905745,17.7793915552202,1.05240236464575
"629",2019-01-19,16.7514481014662,18.2530402308026,1.50159212933643
"630",2019-01-20,16.5705151594438,18.2535970123384,1.68308185289457
"631",2019-01-21,18.9000046498091,18.8205092513513,-0.0794953984577624
"632",2019-01-22,19.0127844641871,19.9420685112432,0.929284047056129
"633",2019-01-23,19.0979334791074,20.8771030303438,1.77916955123634
"634",2019-01-24,19.0694839250567,20.6965347879163,1.62705086285956
"635",2019-01-25,19.0958061528352,19.868812004883,0.773005852047717
"636",2019-01-26,19.0827646898927,18.8577070444923,-0.225057645400383
"637",2019-01-27,18.9636561153641,18.6266904809329,-0.336965634431149
"638",2019-01-28,18.9444121254483,18.3293552424583,-0.615056882990014
"639",2019-01-29,19.1036535245766,23.3622068230616,4.25855329848502
"640",2019-01-30,18.613894021651,23.0756302772167,4.46173625556567
"641",2019-01-31,18.7130057595053,22.6735798550394,3.96057409553412
"642",2019-02-01,18.8543446676953,21.7308934666362,2.87654879894095
"643",2019-02-02,18.6913467529352,21.5028219893053,2.81147523637014
"644",2019-02-03,18.5963688465959,22.6217962301609,4.02542738356502
"645",2019-02-04,19.3898167421888,22.912852531748,3.52303578955921
"646",2019-02-05,19.4636145139718,22.5974243292082,3.13380981523639
"647",2019-02-06,19.5747536395926,22.8312303828715,3.25647674327891
"648",2019-02-07,19.5461261690151,22.4847319522418,2.93860578322674
"649",2019-02-08,19.6000510326106,21.5611533960625,1.9611023634519
"650",2019-02-09,19.5682865896942,20.6146611243775,1.04637453468327
"651",2019-02-10,19.5409864068785,19.7062882344273,0.165301827548813
"652",2019-02-11,15.9569881000676,20.8889851756731,4.93199707560549
"653",2019-02-12,16.0774532594547,20.2058663616192,4.12841310216454
"654",2019-02-13,16.1169583938945,19.7061970526897,3.58923865879524
"655",2019-02-14,16.0542560787977,19.5993012884745,3.54504520967685
"656",2019-02-15,16.037244303801,19.1841571853966,3.14691288159561
"657",2019-02-16,16.0014091761121,18.7070246105648,2.70561543445277
"658",2019-02-17,16.068756277479,17.8664626417197,1.79770636424067
"659",2019-02-18,16.4306684287466,17.3811456303821,0.950477201635483
"660",2019-02-19,16.6141440468411,16.3186539799515,-0.295490066889627
"661",2019-02-20,16.6099495697933,16.2451616615554,-0.364787908237936
"662",2019-02-21,16.812970662093,15.924748728631,-0.888221933462063
"663",2019-02-22,16.8305911066124,15.2075688303405,-1.6230222762719
"664",2019-02-23,16.7507629269901,14.2365633239133,-2.51419960307689
"665",2019-02-24,16.607111223724,14.6576382580002,-1.94947296572382
"666",2019-02-25,15.3630787072285,16.2450271973602,0.881948490131718
"667",2019-02-26,15.5090539514888,16.9358250215714,1.4267710700826
"668",2019-02-27,16.6281583381437,16.6417590198457,0.0136006817019272
"669",2019-02-28,16.7551803732061,16.576818298258,-0.178362074948136
"670",2019-03-01,16.920771738056,16.9082728343974,-0.0124989036586314
"671",2019-03-02,16.7577738232959,16.3868110076456,-0.370962815650334
"672",2019-03-03,16.6627959169566,17.3174661270339,0.65467021007732
"673",2019-03-04,16.9525347999814,17.4848688368712,0.532334036889822
"674",2019-03-05,17.0263325717644,18.3900793299215,1.36374675815715
"675",2019-03-06,18.1989461935942,19.4428729835278,1.24392678993356
"676",2019-03-07,18.1603712506068,19.7074431448456,1.54707189423874
"677",2019-03-08,18.2142961142023,19.1004476932579,0.886151579055596
"678",2019-03-09,18.182531671286,18.5708118777973,0.388280206511325
"679",2019-03-10,18.1552314884702,18.4371469275735,0.281915439103287
"680",2019-03-11,15.6990741503507,17.8381751733676,2.13910102301694
"681",2019-03-12,15.8195393097378,17.5759211594982,1.75638184976044
"682",2019-03-13,16.3897816922821,18.5034474667384,2.1136657744563
"683",2019-03-14,16.4713177271281,17.0231716693993,0.551853942271205
"684",2019-03-15,16.4543059521314,17.3349179358474,0.880611983715987
"685",2019-03-16,16.4184708244425,18.1201245009796,1.70165367653708
"686",2019-03-17,16.4858179258094,19.9489145409012,3.46309661509181
"687",2019-03-18,16.6514508554853,21.1578013776291,4.50635052214381
"688",2019-03-19,16.8349264735798,20.7523772674188,3.91745079383893
"689",2019-03-20,16.5653633724798,20.2569870860253,3.6916237135455
"690",2019-03-21,16.7285945751401,20.5548281191433,3.82623354400318
"691",2019-03-22,16.7462150196594,19.6936418696118,2.94742684995236
"692",2019-03-23,16.6663868400372,18.9461505200429,2.27976368000567
"693",2019-03-24,16.5227351367711,18.9320584784394,2.40932334166837
"694",2019-03-25,18.6545478508986,19.6838938001643,1.02934594926566
"695",2019-03-26,18.8005230951589,19.5235822961511,0.723059200992214
